"","study","taxon","phylum","common_name","number_of_populations","ecosystem","dispersal_mode","acclimation_time","source_population","latitude","longitude","life_history_stage","sex","acclimation_temperature_1","acclimation_temperature_2","measurement_level","thermal_limit_type","thermal_limit_1","thermal_limit_2","thermal_limit_error_type","thermal_limit_error_1","thermal_limit_error_2","n_1","n_2","max_temp","min_temp","mean_temp","temp_range","upper_lower","ARR"
"36","Bugg_et_al_2020","Acipenser fulvescens","Vertebrata","sturgeon",2,"freshwater","NA","1","BR",56.05,96.905,"adult","uncertain",20,24,"individual","CTmax",34.09549072,34.8806366,"std_dev",0.392572944,0.381962865,8,8,23.2833333333333,-22.5,0.483333333333333,45.7833333333333,"upper",0.19628647
"37","Campbell_Staton_et_al_2018","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","Hodgen",34.784382,-94.694722,"adult","uncertain",20,30,"individual","CTmin",6.02911208,7.79767103,"std_err",0.356623,0.43668122,10,10,32.18,-0.18,16.2,32.36,"lower",0.176855895
"38","Campbell_Staton_et_al_2018","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","Arlington",32.768686,-97.08369,"adult","uncertain",20,30,"individual","CTmin",6.356623,8.30349345,"std_err",0.29112082,0.5713246,9,9,34.6,2.5,18.9,32.1,"lower",0.194687045
"39","Campbell_Staton_et_al_2018","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","Austin",30.24407,-97.720786,"adult","uncertain",20,30,"individual","CTmin",6.45487627,8.43085881,"std_err",0.3202329,0.28384279,12,14,34.7,5.45,20.6,29.25,"lower",0.197598254
"40","Campbell_Staton_et_al_2018","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","Victoria",28.818269,-97.024316,"adult","uncertain",20,30,"individual","CTmin",7.10262009,9.64628821,"std_err",0.55676856,0.37117904,10,15,32.825,8.05,21.5,24.775,"lower",0.254366812
"41","Campbell_Staton_et_al_2018","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","Brownsville",25.894346,-97.489169,"adult","uncertain",20,30,"individual","CTmin",8.36535662,10.1229985,"std_err",0.505822416,0.64774381,10,9,32.025,13.55,23.8,18.475,"lower",0.175764188
"42","Castaneda_et_al_2016","Drosophila subobscura","Arthropoda","fruit fly",5,"terrestrial","NA","1","CU",35,71.2166666666667,"adult","female",13,18,"individual","knockdown temperature",36.3333333333333,35.6333333333333,"std_dev",0.758098043578903,0.718395402284138,30,30,27.4,-4.7,11.825,32.1,"upper",-0.140000000000001
"43","Castaneda_et_al_2016","Drosophila subobscura","Arthropoda","fruit fly",5,"terrestrial","NA","1","CH",36.6,72.1,"adult","female",13,18,"individual","knockdown temperature",35.8,35.7857142857143,"std_dev",0.761124395107387,0.832539304250372,30,30,5.3,-28.775,-13.5,34.075,"upper",-0.00285714285714249
"44","Castaneda_et_al_2016","Drosophila subobscura","Arthropoda","fruit fly",5,"terrestrial","NA","1","VD",39.8,73.2,"adult","female",13,18,"individual","knockdown temperature",35.6666666666667,36.2333333333333,"std_dev",0.884086644736985,0.678910553924363,30,30,14.65,-18.85,-1.225,33.5,"upper",0.113333333333334
"45","Castaneda_et_al_2016","Drosophila subobscura","Arthropoda","fruit fly",5,"terrestrial","NA","1","VD",39.8,73.2,"adult","female",13,18,"individual","knockdown temperature",35.6666666666667,35.6666666666667,"std_dev",0.884086644736985,0.758098043578903,30,30,14.65,-18.85,-1.225,33.5,"upper",0
"46","Castaneda_et_al_2016","Drosophila subobscura","Arthropoda","fruit fly",5,"terrestrial","NA","1","PM",41.5,72.95,"adult","female",13,18,"individual","knockdown temperature",36.1,35.7,"std_dev",0.758855762952036,0.915385729888094,30,30,12.925,-20.5,-3.675,33.425,"upper",-0.0799999999999997
"47","Chen_et_al_2001","Buergeria_japonica","Chordata","frog",2,"terrestrial","uncertain","<1","Chukou",23.45,120.605,"juvenile","uncertain",22,32,"individual","CTmax",42.42424,43.95455,"std_err",0.689394,0.212121,12,12,29.05,11.55,21.325,17.5,"upper",0.153031
"48","Chen_et_al_2001","Buergeria_japonica","Chordata","frog",2,"terrestrial","uncertain","<1","Jentse",24.553,121.5,"juvenile","uncertain",22,32,"individual","CTmax",44.45455,43.93182,"std_err",0.348485,0.704545,12,12,28.325,9.85,19.25,18.475,"upper",-0.0522729999999996
"49","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",5,10,"individual","CTmin",0.214285714,3.833333333,"std_err",0.349854227405247,0.57725947521866,11,11,16.9875,-14.0125,0.75,31,"lower",0.7238095238
"50","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",5,10,"individual","CTmin",0.30952381,2.404761905,"std_err",0.157434402332361,0.59475218658892,11,11,20.2625,-19.0625,0.4375,39.325,"lower",0.419047619
"51","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",5,10,"individual","CTmin",-0.119047619,2.261904762,"std_err",0.174927113702624,0.62973760932944,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"lower",0.4761904762
"52","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",5,20,"individual","CTmin",0.214285714,4.095238095,"std_err",0.349854227405247,0.48979591836735,11,11,16.9875,-14.0125,0.75,31,"lower",0.258730158733333
"53","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",5,20,"individual","CTmin",0.30952381,3.5,"std_err",0.157434402332361,0.20991253644315,11,11,20.2625,-19.0625,0.4375,39.325,"lower",0.212698412666667
"54","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",5,20,"individual","CTmin",-0.119047619,2.428571429,"std_err",0.174927113702624,0.40233236151603,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"lower",0.169841269866667
"55","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",5,25,"individual","CTmin",0.214285714,8.285714286,"std_err",0.349854227405247,0.73469387755102,11,11,16.9875,-14.0125,0.75,31,"lower",0.4035714286
"56","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",5,25,"individual","CTmin",0.30952381,6.119047619,"std_err",0.157434402332361,0.48979591836734,11,11,20.2625,-19.0625,0.4375,39.325,"lower",0.29047619045
"57","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",5,25,"individual","CTmin",-0.119047619,4.785714286,"std_err",0.174927113702624,0.577259475218661,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"lower",0.24523809525
"58","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",10,20,"individual","CTmin",3.833333333,4.095238095,"std_err",0.57725947521866,0.48979591836735,11,11,16.9875,-14.0125,0.75,31,"lower",0.0261904762
"59","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",10,20,"individual","CTmin",2.404761905,3.5,"std_err",0.59475218658892,0.20991253644315,11,11,20.2625,-19.0625,0.4375,39.325,"lower",0.1095238095
"60","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",10,20,"individual","CTmin",2.261904762,2.428571429,"std_err",0.62973760932944,0.40233236151603,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"lower",0.0166666667
"61","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",10,25,"individual","CTmin",3.833333333,8.285714286,"std_err",0.57725947521866,0.73469387755102,11,11,16.9875,-14.0125,0.75,31,"lower",0.296825396866667
"62","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",10,25,"individual","CTmin",2.404761905,6.119047619,"std_err",0.59475218658892,0.48979591836734,11,11,20.2625,-19.0625,0.4375,39.325,"lower",0.2476190476
"63","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",10,25,"individual","CTmin",2.261904762,4.785714286,"std_err",0.62973760932944,0.577259475218661,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"lower",0.168253968266667
"64","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",20,25,"individual","CTmin",4.095238095,8.285714286,"std_err",0.48979591836735,0.73469387755102,11,11,16.9875,-14.0125,0.75,31,"lower",0.8380952382
"65","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",20,25,"individual","CTmin",3.5,6.119047619,"std_err",0.20991253644315,0.48979591836734,11,11,20.2625,-19.0625,0.4375,39.325,"lower",0.5238095238
"66","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",20,25,"individual","CTmin",2.428571429,4.785714286,"std_err",0.40233236151603,0.577259475218661,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"lower",0.4714285714
"67","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",5,10,"individual","CTmax",25.84557439,26.37288136,"std_err",0.199999999999999,0.500000000000099,11,11,16.9875,-14.0125,0.75,31,"upper",0.105461394
"68","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",5,10,"individual","CTmax",26.76836158,27.45386064,"std_err",0.1600000000001,0.260000000000097,11,11,20.2625,-19.0625,0.4375,39.325,"upper",0.137099812
"69","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",5,10,"individual","CTmax",26.16195857,26.18832392,"std_err",0.159999999999901,0.16,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"upper",0.00527306999999979
