Pop	ID	treat	CT	S0	S24	W	min/max	device	date
Sen	Se–31	24	-0,4	y	y	0,267	min	huber	11/8/15
Sen	Se–32	24	-0,4	y	y	0,269	min	huber	11/8/15
Sen	Se–33	24	-0,6	y	y	0,388	min	huber	11/8/15
Sen	Se–34	14	-1	y	y	0,427	min	huber	11/8/15
Sen	Se–35	14	-2	y	y	0,311	min	huber	11/8/15
Sen	Se–36	14	-2,4	y	y	0,497	min	huber	11/8/15
Sen	Se–37	14	35,8	y	y	0,352	max	resist	12/8/15
Sen	Se–38	14	35,2	y	y	0,443	max	resist	12/8/15
Sen	Se–39	14	35,4	y	y	0,35	max	resist	12/8/15
Sen	Se–40	14	35,4	y	y	0,28	max	resist	12/8/15
Sen	Se–41	14	35,2	y	y	0,371	max	resist	12/8/15
Sen	Se–42	24	-1	y	y	0,37	min	huber	12/8/15
Sen	Se–43	14	-0,4	y	y	0,292	min	huber	12/8/15
Sen	Se–44	14	0	y	y	0,231	min	huber	12/8/15
Sen	Se–45	14	-0,4	y	y	0,385	min	huber	12/8/15
Sen	Se–46	24	36,4	y	y	0,296	max	resist	17/8/15
Sen	Se–47	24	35,4	y	n	NA	max	resist	17/8/15
Sen	Se–48	24	35,4	y	y	0,222	max	resist	17/8/15
Sen	Se–49	14	34,4	y	y	0,372	max	resist	17/8/15
Sen	Se–50	14	32,8	y	y	0,271	max	resist	17/8/15
Sen	Se–51	14	36,2	y	y	0,307	max	resist	17/8/15
Sen	Se–52	24	-1,4	y	y	0,306	min	huber	17/8/15
Sen	Se–53	24	-1,4	y	y	0,443	min	huber	17/8/15
Sen	Se–54	24	-2	y	y	0,306	min	huber	17/8/15
Sen	Se–55	24	-1	y	y	0,278	min	huber	17/8/15
Sen	Se–56	14	-1,6	y	y	0,229	min	huber	17/8/15
Sen	Se–57	14	-2,6	y	y	0,347	min	huber	17/8/15
Sen	Se–58	14	35,8	y	y	0,304	max	resist	17/8/15
Sen	Se–59	14	-1,4	y	y	0,305	min	huber	17/8/15
He	HE1	14	35	y	y	0,324	max	resist	17/8/15
He	HE2	14	35,4	y	y	0,32	max	resist	17/8/15
He	HE3	14	35	y	y	0,215	max	resist	17/8/15
He	HE4	14	35,8	y	y	0,411	max	resist	17/8/15
He	HE5	14	34,8	y	y	0,209	max	resist	17/8/15
He	HE6	14	-1,6	y	y	0,357	min	huber	17/8/15
He	HE7	14	-1,8	y	y	0,174	min	huber	17/8/15
He	HE8	14	-1,4	y	y	0,37	min	huber	17/8/15
He	HE9	14	-1,4	y	y	0,346	min	huber	17/8/15
He	HE10	14	NA	NA	NA	NA	min	huber	17/8/15
He	HE11	24	35	y	y	0,395	max	resist	17/8/15
He	HE12	24	35,2	y	y	0,35	max	resist	17/8/15
He	HE13	24	34,6	y	n	NA	max	resist	17/8/15
He	HE14	24	34,8	y	n	NA	max	resist	17/8/15
He	HE15	24	35,4	y	y	0,368	max	resist	17/8/15
He	HE16	24	34,8	y	y	0,161	max	resist	17/8/15
He	HE17	24	-1	y	y	0,23	min	huber	17/8/15
He	HE18	24	-1,4	y	y	0,396	min	huber	17/8/15
He	HE19	24	-2	y	y	0,191	min	huber	17/8/15
He	HE20	24	-1	y	y	0,382	min	huber	17/8/15
He	HE21	24	-0,8	y	y	0,32	min	huber	17/8/15
He	HE22	24	-2	y	y	0,345	min	huber	17/8/15
He	HE23	24	35,2	y	y	0,247	max	resist	18/8/15
He	HE24	24	33,6	n	n	NA	max	resist	18/8/15
He	HE25	24	35,6	y	y	0,408	max	resist	18/8/15
He	HE26	24	35,4	y	y	0,329	max	resist	18/8/15
He	HE27	24	-1,4	y	y	0,172	min	huber	18/8/15
He	HE28	24	-1,6	y	y	0,39	min	huber	18/8/15
He	HE29	24	-0,4	y	y	0,343	min	huber	18/8/15
He	HE30	14	34,8	y	y	0,325	max	resist	18/8/15
He	HE31	14	33,8	y	y	0,182	max	resist	18/8/15
He	HE32	14	34,8	y	n	NA	max	resist	18/8/15
He	HE33	14	34,2	y	n	NA	max	resist	18/8/15
He	HE34	14	34,6	y	y	0,233	max	resist	18/8/15
He	HE35	14	-1,4	y	y	0,163	min	huber	18/8/15
He	HE36	14	-2	y	y	0,325	min	huber	18/8/15
He	HE37	14	-2	y	y	0,228	min	huber	18/8/15
He	HE38	14	NA	NA	NA	NA	min	huber	18/8/15
He	HE39	14	NA	NA	NA	NA	min	huber	18/8/15
Sen	Sen60	24	35,8	y	y	0,3	max	resist	24/8/15
Sen	Sen61	24	36	y	y	0,382	max	resist	24/8/15
Sen	Sen62	24	35,8	y	y	0,331	max	resist	24/8/15
Sen	Sen63	24	35,6	y	y	0,318	max	resist	24/8/15
Sen	Sen64	24	35	y	y	0,227	max	resist	24/8/15
Sen	Sen65	24	36,2	y	y	0,389	max	resist	24/8/15
Sen	Sen66	24	-0,6	y	y	0,269	min	huber	24/8/15
Sen	Sen67	24	-0,4	y	y	0,344	min	huber	24/8/15
Sen	Sen68	24	-0,2	y	y	0,308	min	huber	24/8/15
Sen	Sen69	24	-0,8	y	y	0,29	min	huber	24/8/15
Sen	Sen70	24	-0,6	y	y	0,274	min	huber	24/8/15
Sen	Sen71	24	-1,2	y	y	0,307	min	huber	24/8/15
Sen	Sen72	14	36	y	y	0,35	max	resist	24/8/15
Sen	Sen73	14	NA	NA	NA	NA	NA	resist	24/8/15
Sen	Sen74	14	35,2	y	y	0,337	max	resist	24/8/15
Sen	Sen75	14	NA	NA	NA	NA	NA	resist	24/8/15
Sen	Sen76	14	NA	NA	NA	NA	NA	resist	24/8/15
Sen	Sen77	14	NA	NA	NA	NA	NA	resist	24/8/15
Sen	Sen78	14	-0,8	y	y	0,317	min	huber	24/8/15
Sen	Sen79	14	-1,8	y	y	0,283	min	huber	24/8/15
Sen	Sen80	14	-1,2	y	y	0,378	min	huber	24/8/15
Sen	Sen81	14	-1,6	y	y	0,39	min	huber	24/8/15
Sen	Sen82	14	-1,8	y	y	0,284	min	huber	24/8/15
Sen	Sen83	14	-1,4	y	y	0,341	min	huber	24/8/15
He	HE40	24	36,6	y	y	0,422	max	resist	24/8/15
He	HE41	24	35,2	y	n	NA	max	resist	24/8/15
He	HE42	24	36	y	y	0,432	max	resist	24/8/15
He	HE43	24	35,6	y	y	0,437	max	resist	24/8/15
He	HE44	24	35,6	y	y	0,449	max	resist	24/8/15
He	HE45	24	35	y	y	0,357	max	resist	24/8/15
