"","study","ecosystem","population","latitude","longitude","acc_temp_1","acc_temp_2","limit_1","limit_2","ARR","limit_type","upper_lower","sex","mean_temp","temp_range","acc_time","taxon","phylum","common_name","model_arr","lat_slope","range_slope","lim_slope"
"66","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,25,46.78481013,47.27777778,0.123241912500001,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"67","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,27,46.78481013,47.475,0.115031645000001,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"68","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,29,46.78481013,47.26315789,0.0597934700000007,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"69","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,25,46.76470588,47.27777778,0.25653595,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"70","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,27,46.76470588,47.475,0.17757353,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"71","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,29,46.76470588,47.26315789,0.0830753350000002,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"72","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,25,27,47.27777778,47.475,0.0986111100000002,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"73","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,25,29,47.27777778,47.26315789,-0.00365497249999969,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"74","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,27,29,47.475,47.26315789,-0.105921055,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"75","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,23,4.2125,3.9,-0.15625,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"76","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,25,4.2125,5.088888889,0.21909722225,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"77","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,27,4.2125,5.2375,0.170833333333333,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"78","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,29,4.2125,4.864864865,0.081545608125,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"79","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,25,3.9,5.088888889,0.5944444445,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"80","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,27,3.9,5.2375,0.334375,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"81","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,29,3.9,4.864864865,0.160810810833333,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"82","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,25,27,5.088888889,5.2375,0.0743055555000001,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"83","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,25,29,5.088888889,4.864864865,-0.0560060059999998,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"84","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,27,29,5.2375,4.864864865,-0.1863175675,"CTmin","lower","uncertain",12.5448611108333,33.64875,2,103,2,3,0.1321114865,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"85","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,21,23,47.2,47,-0.100000000000001,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"86","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,21,25,47.2,47.57142857,0.0928571424999998,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"87","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,21,27,47.2,47.57142857,0.0619047616666665,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"88","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,21,29,47.2,47.8,0.0749999999999993,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"89","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,23,25,47,47.57142857,0.285714285000001,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"90","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,23,27,47,47.57142857,0.1428571425,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"91","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,23,29,47,47.8,0.133333333333333,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"92","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,25,27,47.57142857,47.57142857,0,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"93","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,25,29,47.57142857,47.8,0.0571428574999988,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"94","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,27,29,47.57142857,47.8,0.114285714999998,"CTmax","upper","female",9.54666666666667,31.8057142857143,2,103,2,3,0.0885714284999993,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"95","Diamond_et_al_2018","terrestrial","Cle_rural",41.5562439475,-81.365349265,21,23,4.666666667,4.571428571,-0.0476190480000001,"CTmin","lower","female",9.54666666666667,31.8057142857143,2,103,2,3,0.1233333333,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
